2017-01-02	3.16.0
2017-01-03	3.16.1
2017-01-06	3.16.2
2017-02-13	3.17.0
2017-03-28	3.18.0
2017-05-22	3.19.0
2017-05-24	3.19.1
2017-05-25	3.19.2
2017-06-08	3.19.3
2017-08-01	3.20.0
2017-08-24	3.20.1
2017-10-24	3.21.0
2018-01-22	3.22.0
2018-04-02	3.23.0
2018-04-10	3.23.1
2018-06-04	3.24.0
2018-09-15	3.25.0
2018-09-18	3.25.1
2018-09-25	3.25.2
2018-11-05	3.25.3
2018-12-01	3.26.0
2019-02-07	3.27.0
2019-02-08	3.27.1
2019-02-25	3.27.2
2019-04-16	3.28.0
2019-07-10	3.29.0
2019-10-04	3.30.0
2019-10-10	3.30.1
2020-01-22	3.31.0
2020-01-27	3.31.1
2020-05-22	3.32.0
2020-05-25	3.32.1
2020-06-04	3.32.2
2020-06-18	3.32.3
2020-08-14	3.33.0
2020-12-01	3.34.0
2021-01-20	3.34.1
2021-03-12	3.35.0
2021-03-15	3.35.1
2021-03-17	3.35.2
2021-03-26	3.35.3
2021-04-02	3.35.4
2021-04-19	3.35.5
2021-06-18	3.36.0
2021-11-27	3.37.0
2021-12-30	3.37.1
2022-01-06	3.37.2
2022-02-22	3.38.0
2022-03-12	3.38.1
2022-03-26	3.38.2
2022-04-27	3.38.3
2022-05-04	3.38.4
2022-05-06	3.38.5
2022-06-25	3.39.0
2022-07-13	3.39.1
2022-07-21	3.39.2
2022-09-05	3.39.3
2022-09-29	3.39.4
2022-11-16	3.40.0
2022-12-28	3.40.1
2023-02-21	3.41.0
2023-03-10	3.41.1
2023-03-22	3.41.2
2023-05-16	3.42.0
2023-08-24	3.43.0
2023-09-11	3.43.1
2023-10-10	3.43.2
2023-11-01	3.44.0
2023-11-22	3.44.1
2023-11-24	3.44.2
2024-01-15	3.45.0
2024-01-30	3.45.1
2024-03-12	3.45.2
2024-04-15	3.45.3
2024-05-23	3.46.0
2024-08-13	3.46.1
2024-10-21	3.47.0
2024-11-25	3.47.1
2024-12-07	3.47.2
2025-01-14	3.48.0
2025-02-06	3.49.0
2025-02-18	3.49.1
2025-05-07	3.49.2
2025-05-29	3.50.0
2025-06-06	3.50.1
2025-06-28	3.50.2
2025-07-17	3.50.3
2025-07-30	3.50.4
2025-11-04	3.51.0
2025-11-28	3.51.1
2026-01-09	3.51.2
